Time,Detections
735135.2917,7
735135.2917,7
735135.2918,5
735135.2919,8
735135.2919,8
735135.292,4
735135.292,4
735135.2921,11
735135.2922,6
735135.2922,5
735135.2923,11
735135.2923,7
735135.2924,9
735135.2924,3
735135.2925,10
735135.2926,8
735135.2926,6
735135.2927,12
735135.2927,10
735135.2928,3
735135.2928,13
735135.2929,5
735135.293,7
735135.293,7
735135.2931,2
735135.2931,10
735135.2932,7
735135.2933,4
735135.2933,8
735135.2934,5
735135.2934,6
735135.2935,3
735135.2935,5
735135.2936,4
735135.2937,10
735135.2937,11
735135.2938,8
735135.2938,9
735135.2939,4
735135.2939,6
735135.294,8
735135.2941,5
735135.2941,3
735135.2942,5
735135.2942,6
735135.2943,4
735135.2944,5
735135.2944,7
735135.2945,4
735135.2945,8
735135.2946,5
735135.2946,9
735135.2947,10
735135.2948,11
735135.2948,5
735135.2949,5
735135.2949,10
735135.295,9
735135.295,9
735135.2951,9
735135.2952,2
735135.2952,9
735135.2953,6
735135.2953,5
735135.2954,7
735135.2955,1
735135.2955,6
735135.2956,10
735135.2956,5
735135.2957,10
735135.2957,4
735135.2958,10
735135.2959,10
735135.2959,7
735135.296,6
735135.296,5
735135.2961,8
735135.2961,3
735135.2962,5
735135.2963,10
735135.2963,4
735135.2964,8
735135.2964,5
735135.2965,10
735135.2966,11
735135.2966,11
735135.2967,9
735135.2967,8
735135.2968,7
735135.2968,5
735135.2969,5
735135.297,8
735135.297,6
735135.2971,6
735135.2971,3
735135.2972,8
735135.2972,2
735135.2973,8
735135.2974,5
735135.2974,3
735135.2975,3
735135.2975,3
735135.2976,13
735135.2977,6
735135.2977,11
735135.2978,7
735135.2978,3
735135.2979,3
735135.2979,7
735135.298,11
735135.2981,7
735135.2981,6
735135.2982,6
735135.2982,11
735135.2983,9
735135.2983,2
735135.2984,6
735135.2985,5
735135.2985,5
735135.2986,5
735135.2986,2
735135.2987,6
735135.2988,5
735135.2988,8
735135.2989,7
735135.2989,6
735135.299,11
735135.299,6
735135.2991,8
735135.2992,9
735135.2992,10
735135.2993,9
735135.2993,3
735135.2994,10
735135.2994,4
735135.2995,6
735135.2996,4
735135.2996,6
735135.2997,13
735135.2997,10
735135.2998,7
735135.2998,2
735135.2999,8
735135.3,8
735135.3,5
735135.3001,5
735135.3001,5
735135.3002,6
735135.3003,8
735135.3003,6
735135.3004,2
735135.3004,6
735135.3005,9
735135.3005,5
735135.3006,4
735135.3007,12
735135.3007,8
735135.3008,6
735135.3008,7
735135.3009,9
735135.3009,4
735135.301,8
735135.3011,5
735135.3011,7
735135.3012,6
735135.3012,8
735135.3013,8
735135.3014,10
735135.3014,5
735135.3015,8
735135.3015,10
735135.3016,11
735135.3016,4
735135.3017,6
735135.3018,7
735135.3018,9
735135.3019,7
735135.3019,6
735135.302,8
735135.302,8
735135.3021,7
735135.3022,7
735135.3022,5
735135.3023,7
735135.3023,2
735135.3024,5
735135.3025,11
735135.3025,11
735135.3026,7
735135.3026,4
735135.3027,7
735135.3027,5
735135.3028,8
735135.3029,9
735135.3029,1
735135.303,6
735135.303,5
735135.3031,8
735135.3031,9
735135.3032,4
735135.3033,5
735135.3033,11
735135.3034,8
735135.3034,6
735135.3035,8
735135.3036,5
735135.3036,3
735135.3037,13
735135.3037,5
735135.3038,4
735135.3038,5
735135.3039,4
735135.304,9
735135.304,10
735135.3041,3
735135.3041,9
735135.3042,9
735135.3042,5
735135.3043,9
735135.3044,10
735135.3044,5
735135.3045,9
735135.3045,4
735135.3046,4
735135.3047,8
735135.3047,6
735135.3048,3
735135.3048,6
735135.3049,6
735135.3049,10
735135.305,5
735135.3051,5
735135.3051,3
735135.3052,8
735135.3052,4
735135.3053,4
735135.3053,2
735135.3054,5
735135.3055,3
735135.3055,3
735135.3056,8
735135.3056,5
735135.3057,11
735135.3058,3
735135.3058,10
735135.3059,4
735135.3059,6
735135.306,5
735135.306,3
735135.3061,6
735135.3062,4
735135.3062,10
735135.3063,7
735135.3063,8
735135.3064,1
735135.3064,5
735135.3065,12
735135.3066,8
735135.3066,8
735135.3067,6
735135.3067,4
735135.3068,6
735135.3069,9
735135.3069,8
735135.307,4
735135.307,4
735135.3071,7
735135.3071,3
735135.3072,7
735135.3073,4
735135.3073,11
735135.3074,12
735135.3074,7
735135.3075,8
735135.3075,6
735135.3076,12
735135.3077,7
735135.3077,7
735135.3078,7
735135.3078,6
735135.3079,7
735135.308,10
735135.308,9
735135.3081,6
735135.3081,6
735135.3082,5
735135.3082,6
735135.3083,3
735135.3084,7
735135.3084,5
735135.3085,6
735135.3085,5
735135.3086,8
735135.3086,6
735135.3087,9
735135.3088,8
735135.3088,4
735135.3089,9
735135.3089,9
735135.309,5
735135.3091,15
735135.3091,11
735135.3092,8
735135.3092,11
735135.3093,6
735135.3093,7
735135.3094,6
735135.3095,7
735135.3095,5
735135.3096,8
735135.3096,7
735135.3097,5
735135.3097,10
735135.3098,6
735135.3099,6
735135.3099,10
735135.31,10
735135.31,10
735135.3101,9
735135.3102,5
735135.3102,8
735135.3103,5
735135.3103,10
735135.3104,14
735135.3104,6
735135.3105,13
735135.3106,4
735135.3106,4
735135.3107,10
735135.3107,5
735135.3108,7
735135.3108,12
735135.3109,12
735135.311,2
735135.311,5
735135.3111,8
735135.3111,5
735135.3112,2
735135.3113,6
735135.3113,7
735135.3114,6
735135.3114,4
735135.3115,4
735135.3115,2
735135.3116,12
735135.3117,3
735135.3117,6
735135.3118,8
735135.3118,1
735135.3119,5
735135.3119,7
735135.312,11
735135.3121,5
735135.3121,5
735135.3122,7
735135.3122,9
735135.3123,6
735135.3123,9
735135.3124,3
735135.3125,9
735135.3125,7
735135.3126,6
735135.3126,8
735135.3127,8
735135.3128,5
735135.3128,6
735135.3129,8
735135.3129,8
735135.313,6
735135.313,10
735135.3131,6
735135.3132,6
735135.3132,7
735135.3133,6
735135.3133,3
735135.3134,6
735135.3134,9
735135.3135,10
735135.3136,10
735135.3136,7
735135.3137,8
735135.3137,6
735135.3138,7
735135.3139,6
735135.3139,7
735135.314,7
735135.314,10
735135.3141,6
735135.3141,6
735135.3142,9
735135.3143,9
735135.3143,8
735135.3144,9
735135.3144,6
735135.3145,6
735135.3145,8
735135.3146,9
735135.3147,12
735135.3147,3
735135.3148,8
735135.3148,7
735135.3149,7
735135.315,5
735135.315,3
735135.3151,4
735135.3151,6
735135.3152,8
735135.3152,8
735135.3153,3
735135.3154,11
735135.3154,7
735135.3155,4
735135.3155,5
735135.3156,6
735135.3156,9
735135.3157,12
735135.3158,6
735135.3158,9
735135.3159,6
735135.3159,4
735135.316,11
735135.3161,6
735135.3161,8
735135.3162,8
735135.3162,11
735135.3163,4
735135.3163,10
735135.3164,11
735135.3165,16
735135.3165,10
735135.3166,11
735135.3166,10
735135.3167,12
735135.3167,5
735135.3168,9
735135.3169,7
735135.3169,13
735135.317,9
735135.317,10
735135.3171,9
735135.3172,8
735135.3172,8
735135.3173,7
735135.3173,7
735135.3174,3
735135.3174,15
735135.3175,8
735135.3176,3
735135.3176,14
735135.3177,8
735135.3177,6
735135.3178,7
735135.3178,7
735135.3179,7
735135.318,8
735135.318,4
735135.3181,5
735135.3181,9
735135.3182,5
735135.3183,6
735135.3183,7
735135.3184,3
735135.3184,4
735135.3185,5
735135.3185,9
735135.3186,10
735135.3187,9
735135.3187,3
735135.3188,8
735135.3188,7
735135.3189,10
735135.3189,6
735135.319,7
735135.3191,10
735135.3191,11
735135.3192,11
735135.3192,10
735135.3193,7
735135.3194,9
735135.3194,9
735135.3195,7
735135.3195,12
735135.3196,10
735135.3196,6
735135.3197,5
735135.3198,8
735135.3198,4
735135.3199,15
735135.3199,6
735135.32,7
735135.32,7
735135.3201,8
735135.3202,8
735135.3202,7
735135.3203,7
735135.3203,5
735135.3204,10
735135.3205,10
735135.3205,11
735135.3206,9
735135.3206,9
735135.3207,9
735135.3207,11
735135.3208,5
735135.3209,3
735135.3209,14
735135.321,8
735135.321,6
735135.3211,8
735135.3211,8
735135.3212,9
735135.3213,4
735135.3213,12
735135.3214,9
735135.3214,5
735135.3215,9
735135.3216,15
735135.3216,12
735135.3217,8
735135.3217,8
735135.3218,8
735135.3218,7
735135.3219,11
735135.322,8
735135.322,4
735135.3221,4
735135.3221,7
735135.3222,6
735135.3222,6
735135.3223,4
735135.3224,6
735135.3224,12
735135.3225,13
735135.3225,6
735135.3226,10
735135.3227,9
735135.3227,13
735135.3228,10
735135.3228,7
735135.3229,5
735135.3229,8
735135.323,7
735135.3231,12
735135.3231,7
735135.3232,9
735135.3232,9
735135.3233,6
735135.3233,9
735135.3234,4
735135.3235,8
735135.3235,7
735135.3236,8
735135.3236,9
735135.3237,10
735135.3238,13
735135.3238,11
735135.3239,4
735135.3239,6
735135.324,8
735135.324,7
735135.3241,7
735135.3242,7
735135.3242,11
735135.3243,12
735135.3243,2
735135.3244,8
735135.3244,7
735135.3245,12
735135.3246,15
735135.3246,2
735135.3247,8
735135.3247,13
735135.3248,5
735135.3248,6
735135.3249,6
735135.325,12
735135.325,9
735135.3251,7
735135.3251,13
735135.3252,12
735135.3253,11
735135.3253,10
735135.3254,11
735135.3254,9
735135.3255,9
735135.3255,6
735135.3256,3
735135.3257,4
735135.3257,3
735135.3258,7
735135.3258,7
735135.3259,7
735135.3259,16
735135.326,11
735135.3261,11
735135.3261,7
735135.3262,3
735135.3262,6
735135.3263,6
735135.3264,10
735135.3264,10
735135.3265,12
735135.3265,10
735135.3266,8
735135.3266,10
735135.3267,6
735135.3268,11
735135.3268,11
735135.3269,9
735135.3269,11
735135.327,7
735135.327,9
735135.3271,11
735135.3272,15
735135.3272,4
735135.3273,8
735135.3273,9
735135.3274,8
735135.3275,5
735135.3275,6
735135.3276,10
735135.3276,9
735135.3277,7
735135.3277,9
735135.3278,10
735135.3279,13
735135.3279,8
735135.328,7
735135.328,15
735135.3281,8
735135.3281,7
735135.3282,15
735135.3283,6
735135.3283,9
735135.3284,6
735135.3284,4
735135.3285,7
735135.3286,7
735135.3286,12
735135.3287,8
735135.3287,8
735135.3288,6
735135.3288,7
735135.3289,8
735135.329,5
735135.329,6
735135.3291,9
735135.3291,11
735135.3292,6
735135.3292,9
735135.3293,11
735135.3294,8
735135.3294,8
735135.3295,9
735135.3295,7
735135.3296,9
735135.3297,6
735135.3297,5
735135.3298,6
735135.3298,4
735135.3299,9
735135.3299,9
735135.33,7
735135.3301,5
735135.3301,7
735135.3302,9
735135.3302,8
735135.3303,4
735135.3303,7
735135.3304,9
735135.3305,9
735135.3305,5
735135.3306,9
735135.3306,6
735135.3307,8
735135.3308,7
735135.3308,8
735135.3309,9
735135.3309,10
735135.331,9
735135.331,12
735135.3311,7
735135.3312,8
735135.3312,5
735135.3313,8
735135.3313,7
735135.3314,8
735135.3314,15
735135.3315,8
735135.3316,7
735135.3316,9
735135.3317,5
735135.3317,6
735135.3318,5
735135.3319,8
735135.3319,5
735135.332,11
735135.332,7
735135.3321,11
735135.3321,9
735135.3322,8
735135.3323,7
735135.3323,7
735135.3324,11
735135.3324,6
735135.3325,5
735135.3325,6
735135.3326,4
735135.3327,9
735135.3327,10
735135.3328,8
735135.3328,9
735135.3329,6
735135.333,4
735135.333,10
735135.3331,7
735135.3331,8
735135.3332,10
735135.3332,6
735135.3333,8
735135.3334,9
